timestamp,name,loc,duration,tag,rank
1736345232095.18,wait_valid_batch,none,0.00,,0
1736345232095.33,batch_04_006_32,none,162.88,finish,0
1736345232258.27,wait_valid_batch,none,0.00,,0
1736345232258.42,batch_04_007_32,none,162.95,finish,0
1736345232421.44,wait_valid_batch,none,0.01,,0
1736345232421.60,batch_04_008_32,none,163.27,finish,0
1736345232584.93,wait_valid_batch,none,0.00,,0
1736345232585.09,batch_04_009_32,none,163.04,finish,0
1736345232748.18,wait_valid_batch,none,0.00,,0
1736345232748.34,batch_04_010_32,none,163.01,finish,0
1736345232911.41,wait_valid_batch,none,0.00,,0
1736345232911.55,batch_04_011_32,none,162.96,finish,0
1736345233074.57,wait_valid_batch,none,0.00,,0
1736345233074.71,batch_04_012_32,none,162.99,finish,0
1736345233237.75,wait_valid_batch,none,0.00,,0
1736345233237.90,batch_04_013_32,none,163.12,finish,0
1736345233401.10,wait_valid_batch,none,0.00,,0
1736345233401.26,batch_04_014_32,none,163.11,finish,0
1736345233564.41,wait_valid_batch,none,0.01,,0
1736345233564.57,batch_04_015_20,none,134.99,finish,0
1736345233669.08,optimizer_step,none,19.81,,0
1736345233699.63,wait_valid_batch,none,0.00,,0
1736345233699.80,batch_04_016_32,none,159.57,finish,0
1736345233699.80,global_batch_04_016_500,none,2578.94,finish,0
1736345233859.42,wait_valid_batch,none,0.00,,0
1736345233859.57,batch_04_017_32,none,162.99,finish,0
1736345234022.60,wait_valid_batch,none,0.00,,0
1736345234022.75,batch_04_018_32,none,162.97,finish,0
1736345234185.77,wait_valid_batch,none,0.00,,0
1736345234185.92,batch_04_019_32,none,162.96,finish,0
1736345234348.92,wait_valid_batch,none,0.00,,0
1736345234349.08,batch_04_020_32,none,162.96,finish,0
1736345234512.08,wait_valid_batch,none,0.00,,0
1736345234512.22,batch_04_021_32,none,162.94,finish,0
1736345234675.21,wait_valid_batch,none,0.00,,0
1736345234675.36,batch_04_022_32,none,162.91,finish,0
1736345234838.32,wait_valid_batch,none,0.00,,0
1736345234838.47,batch_04_023_32,none,163.06,finish,0
1736345235001.59,wait_valid_batch,none,0.00,,0
1736345235001.74,batch_04_024_32,none,163.00,finish,0
1736345235164.78,wait_valid_batch,none,0.00,,0
1736345235164.93,batch_04_025_32,none,163.05,finish,0
1736345235328.07,wait_valid_batch,none,0.01,,0
1736345235328.24,batch_04_026_32,none,162.99,finish,0
1736345235491.27,wait_valid_batch,none,0.00,,0
1736345235491.42,batch_04_027_32,none,162.96,finish,0
1736345235654.43,wait_valid_batch,none,0.00,,0
1736345235654.58,batch_04_028_32,none,162.95,finish,0
1736345235817.58,wait_valid_batch,none,0.00,,0
1736345235817.73,batch_04_029_32,none,162.94,finish,0
1736345235980.72,wait_valid_batch,none,0.00,,0
1736345235980.86,batch_04_030_32,none,162.99,finish,0
1736345236143.91,wait_valid_batch,none,0.00,,0
1736345236144.07,batch_04_031_20,none,134.65,finish,0
1736345236248.27,optimizer_step,none,19.67,,0
1736345236278.88,epoch_05_1000,none,5179.76,,0
1736345236279.01,wait_valid_batch,none,0.00,,0
1736345236279.17,batch_05_000_32,none,159.58,finish,0
1736345236279.18,global_batch_05_000_500,none,2594.02,finish,0
1736345236438.80,wait_valid_batch,none,0.00,,0
1736345236438.95,batch_05_001_32,none,162.89,finish,0
1736345236601.89,wait_valid_batch,none,0.00,,0
1736345236602.05,batch_05_002_32,none,163.00,finish,0
1736345236765.09,wait_valid_batch,none,0.00,,0
1736345236765.23,batch_05_003_32,none,162.88,finish,0
1736345236928.16,wait_valid_batch,none,0.00,,0
1736345236928.31,batch_05_004_32,none,162.92,finish,0
1736345237091.29,wait_valid_batch,none,0.00,,0
1736345237091.43,batch_05_005_32,none,162.95,finish,0
1736345237254.43,wait_valid_batch,none,0.00,,0
1736345237254.58,batch_05_006_32,none,163.39,finish,0
1736345237418.02,wait_valid_batch,none,0.00,,0
1736345237418.17,batch_05_007_32,none,162.92,finish,0
1736345237581.14,wait_valid_batch,none,0.00,,0
1736345237581.29,batch_05_008_32,none,163.03,finish,0
1736345237744.37,wait_valid_batch,none,0.00,,0
1736345237744.52,batch_05_009_32,none,163.00,finish,0
1736345237907.57,wait_valid_batch,none,0.00,,0
1736345237907.72,batch_05_010_32,none,164.22,finish,0
1736345238072.06,wait_valid_batch,none,0.01,,0
1736345238072.28,batch_05_011_32,none,165.25,finish,0
1736345238237.65,wait_valid_batch,none,0.01,,0
1736345238237.86,batch_05_012_32,none,165.39,finish,0
1736345238403.36,wait_valid_batch,none,0.01,,0
1736345238403.58,batch_05_013_32,none,165.25,finish,0
1736345238568.94,wait_valid_batch,none,0.01,,0
1736345238569.16,batch_05_014_32,none,165.51,finish,0
1736345238734.79,wait_valid_batch,none,0.01,,0
1736345238735.03,batch_05_015_20,none,138.14,finish,0
1736345238844.30,optimizer_step,none,18.38,,0
1736345238873.26,wait_valid_batch,none,0.01,,0
1736345238873.49,batch_05_016_32,none,161.67,finish,0
1736345238873.50,global_batch_05_016_500,none,2585.08,finish,0
1736345239035.25,wait_valid_batch,none,0.01,,0
1736345239035.45,batch_05_017_32,none,163.62,finish,0
1736345239199.14,wait_valid_batch,none,0.01,,0
1736345239199.29,batch_05_018_32,none,164.28,finish,0
1736345239363.63,wait_valid_batch,none,0.00,,0
1736345239363.78,batch_05_019_32,none,163.12,finish,0
1736345239526.95,wait_valid_batch,none,0.01,,0
1736345239527.10,batch_05_020_32,none,163.03,finish,0
1736345239690.19,wait_valid_batch,none,0.00,,0
1736345239690.34,batch_05_021_32,none,163.60,finish,0
1736345239854.02,wait_valid_batch,none,0.01,,0
1736345239854.20,batch_05_022_32,none,163.40,finish,0
1736345240017.67,wait_valid_batch,none,0.01,,0
1736345240017.83,batch_05_023_32,none,163.42,finish,0
1736345240181.30,wait_valid_batch,none,0.00,,0
1736345240181.45,batch_05_024_32,none,163.16,finish,0
1736345240344.67,wait_valid_batch,none,0.00,,0
1736345240344.81,batch_05_025_32,none,163.03,finish,0
1736345240507.89,wait_valid_batch,none,0.00,,0
1736345240508.04,batch_05_026_32,none,162.96,finish,0
1736345240671.06,wait_valid_batch,none,0.00,,0
1736345240671.21,batch_05_027_32,none,162.93,finish,0
1736345240834.19,wait_valid_batch,none,0.00,,0
1736345240834.34,batch_05_028_32,none,162.96,finish,0
1736345240997.34,wait_valid_batch,none,0.00,,0
1736345240997.49,batch_05_029_32,none,162.96,finish,0
1736345241160.50,wait_valid_batch,none,0.00,,0
1736345241160.64,batch_05_030_32,none,162.99,finish,0
1736345241323.68,wait_valid_batch,none,0.00,,0
1736345241323.83,batch_05_031_20,none,134.72,finish,0
